W	R
63162.815129	101786.349581
60376.263398	100443.750069
64863.045899	103918.540112
63579.750423	97455.467427
64650.948716	100558.088106
64529.381972	99436.755553
62507.90234	106735.667436
66403.983064	100738.406556
65842.579511	108047.819931
64982.914172	104335.141778

