W	R
11066.853356	97128.862179
10014.131939	93793.527866
11375.394327	104159.936744
11647.374821	100491.014205
11746.665914	96126.832385
11708.79256	102541.194418
11609.657893	102862.479351
10718.738754	100066.849545
11534.693287	99373.570157
11091.444953	96201.751231

