W	R
10735.764829	87456.618906
10443.185743	99683.242261
11221.699835	91835.468342
11629.935758	103820.793644
10866.520712	98707.714553
11081.700614	102736.703493
11963.725783	104067.98417
10368.894267	93789.123486
11116.758319	96197.117782
10714.719082	103364.092231

