W	R
64765.913054	99016.750418
61123.869021	106096.971776
64212.460785	103414.96129
61887.171073	92011.021218
61236.758547	88830.905662
53862.885871	88534.121372
48818.216884	87982.658142
63187.479361	79405.783366
49886.757893	83046.940494
52877.878604	74201.927129

